 TIME  	KGperHR                  
4344.00	0.00000
4344.05	0.00000
4344.10	0.00000
4344.15	0.00000
4344.20	0.00000
4344.25	0.00000
4344.30	0.00000
4344.35	0.00000
4344.40	0.00000
4344.45	0.00000
4344.50	0.00000
4344.55	0.00000
4344.60	0.00000
4344.65	0.00000
4344.70	0.00000
4344.75	0.00000
4344.80	0.00000
4344.85	0.00000
4344.90	0.00000
4344.95	0.00000
4345.00	0.00000
4345.05	0.00000
4345.10	0.00000
4345.15	0.00000
4345.20	0.00000
4345.25	0.00000
4345.30	0.00000
4345.35	0.00000
4345.40	0.00000
4345.45	0.00000
4345.50	0.00000
4345.55	0.00000
4345.60	0.00000
4345.65	0.00000
4345.70	0.00000
4345.75	0.00000
4345.80	0.00000
4345.85	0.00000
4345.90	0.00000
4345.95	0.00000
4346.00	0.00000
4346.05	0.00000
4346.10	0.00000
4346.15	0.00000
4346.20	0.00000
4346.25	0.00000
4346.30	0.00000
4346.35	0.00000
4346.40	0.00000
4346.45	0.00000
4346.50	0.00000
4346.55	0.00000
4346.60	0.00000
4346.65	0.00000
4346.70	0.00000
4346.75	0.00000
4346.80	0.00000
4346.85	0.00000
4346.90	0.00000
4346.95	0.00000
4347.00	0.00000
4347.05	0.00000
4347.10	0.00000
4347.15	0.00000
4347.20	0.00000
4347.25	0.00000
4347.30	0.00000
4347.35	0.00000
4347.40	0.00000
4347.45	0.00000
4347.50	0.00000
4347.55	0.00000
4347.60	0.00000
4347.65	0.00000
4347.70	0.00000
4347.75	0.00000
4347.80	0.00000
4347.85	0.00000
4347.90	0.00000
4347.95	0.00000
4348.00	0.00000
4348.05	0.00000
4348.10	0.00000
4348.15	0.00000
4348.20	0.00000
4348.25	0.00000
4348.30	0.00000
4348.35	0.00000
4348.40	0.00000
4348.45	0.00000
4348.50	0.00000
4348.55	0.00000
4348.60	0.00000
4348.65	0.00000
4348.70	0.00000
4348.75	0.00000
4348.80	0.00000
4348.85	0.00000
4348.90	0.00000
4348.95	0.00000
4349.00	0.00000
4349.05	0.00000
4349.10	0.00000
4349.15	0.00000
4349.20	0.00000
4349.25	0.00000
4349.30	0.00000
4349.35	0.00000
4349.40	0.00000
4349.45	0.00000
4349.50	0.00000
4349.55	0.00000
4349.60	0.00000
4349.65	0.00000
4349.70	0.00000
4349.75	0.00000
4349.80	0.00000
4349.85	0.00000
4349.90	0.00000
4349.95	0.00000
4350.00	0.00000
4350.05	0.00000
4350.10	0.00000
4350.15	0.00000
4350.20	0.00000
4350.25	0.00000
4350.30	0.00000
4350.35	0.00000
4350.40	0.00000
4350.45	0.00000
4350.50	0.00000
4350.55	0.00000
4350.60	0.00000
4350.65	0.00000
4350.70	0.00000
4350.75	0.00000
4350.80	0.00000
4350.85	0.00000
4350.90	0.00000
4350.95	0.00000
4351.00	0.00000
4351.05	0.00000
4351.10	0.00000
4351.15	0.00000
4351.20	0.00000
4351.25	0.00000
4351.30	0.00000
4351.35	0.00000
4351.40	0.00000
4351.45	0.00000
4351.50	0.00000
4351.55	0.00000
4351.60	0.00000
4351.65	0.00000
4351.70	0.00000
4351.75	0.00000
4351.80	0.00000
4351.85	0.00000
4351.90	0.00000
4351.95	0.00000
4352.00	0.00000
4352.05	0.00000
4352.10	0.00000
4352.15	0.00000
4352.20	0.00000
4352.25	0.00000
4352.30	0.00000
4352.35	0.00000
4352.40	0.00000
4352.45	0.00000
4352.50	0.00000
4352.55	0.00000
4352.60	0.00000
4352.65	0.00000
4352.70	0.00000
4352.75	0.00000
4352.80	0.00000
4352.85	0.00000
4352.90	0.00000
4352.95	0.00000
4353.00	0.00000
4353.05	0.00000
4353.10	0.00000
4353.15	0.00000
4353.20	0.00000
4353.25	0.00000
4353.30	0.00000
4353.35	0.00000
4353.40	0.00000
4353.45	0.00000
4353.50	0.00000
4353.55	0.00000
4353.60	0.00000
4353.65	0.00000
4353.70	0.00000
4353.75	0.00000
4353.80	0.00000
4353.85	0.00000
4353.90	0.00000
4353.95	0.00000
4354.00	0.00000
4354.05	0.00000
4354.10	0.00000
4354.15	0.00000
4354.20	0.00000
4354.25	0.00000
4354.30	0.00000
4354.35	0.00000
4354.40	0.00000
4354.45	0.00000
4354.50	0.00000
4354.55	0.00000
4354.60	0.00000
4354.65	0.00000
4354.70	0.00000
4354.75	0.00000
4354.80	0.00000
4354.85	0.00000
4354.90	0.00000
4354.95	0.00000
4355.00	0.00000
4355.05	0.00000
4355.10	0.00000
4355.15	0.00000
4355.20	0.00000
4355.25	0.00000
4355.30	0.00000
4355.35	0.00000
4355.40	0.00000
4355.45	0.00000
4355.50	0.00000
4355.55	0.00000
4355.60	0.00000
4355.65	0.00000
4355.70	0.00000
4355.75	0.00000
4355.80	0.00000
4355.85	0.00000
4355.90	0.00000
4355.95	0.00000
4356.00	0.00000
4356.05	0.00000
4356.10	0.00000
4356.15	0.00000
4356.20	0.00000
4356.25	0.00000
4356.30	0.00000
4356.35	0.00000
4356.40	0.00000
4356.45	0.00000
4356.50	0.00000
4356.55	0.00000
4356.60	0.00000
4356.65	0.00000
4356.70	0.00000
4356.75	0.00000
4356.80	0.00000
4356.85	0.00000
4356.90	0.00000
4356.95	0.00000
4357.00	0.00000
4357.05	0.00000
4357.10	0.00000
4357.15	0.00000
4357.20	0.00000
4357.25	0.00000
4357.30	0.00000
4357.35	0.00000
4357.40	0.00000
4357.45	0.00000
4357.50	0.00000
4357.55	0.00000
4357.60	0.00000
4357.65	0.00000
4357.70	0.00000
4357.75	0.00000
4357.80	0.00000
4357.85	0.00000
4357.90	0.00000
4357.95	0.00000
4358.00	0.00000
4358.05	0.00000
4358.10	0.00000
4358.15	0.00000
4358.20	0.00000
4358.25	0.00000
4358.30	0.00000
4358.35	0.00000
4358.40	0.00000
4358.45	0.00000
4358.50	0.00000
4358.55	0.00000
4358.60	0.00000
4358.65	0.00000
4358.70	0.00000
4358.75	0.00000
4358.80	0.00000
4358.85	0.00000
4358.90	0.00000
4358.95	0.00000
4359.00	0.00000
4359.05	0.00000
4359.10	0.00000
4359.15	0.00000
4359.20	0.00000
4359.25	0.00000
4359.30	0.00000
4359.35	0.00000
4359.40	0.00000
4359.45	0.00000
4359.50	0.00000
4359.55	0.00000
4359.60	0.00000
4359.65	0.00000
4359.70	0.00000
4359.75	0.00000
4359.80	0.00000
4359.85	0.00000
4359.90	0.00000
4359.95	0.00000
4360.00	0.00000
4360.05	0.00000
4360.10	0.00000
4360.15	0.00000
4360.20	0.00000
4360.25	0.00000
4360.30	0.00000
4360.35	0.00000
4360.40	0.00000
4360.45	0.00000
4360.50	0.00000
4360.55	0.00000
4360.60	0.00000
4360.65	0.00000
4360.70	0.00000
4360.75	0.00000
4360.80	0.00000
4360.85	0.00000
4360.90	0.00000
4360.95	0.00000
4361.00	0.00000
4361.05	0.00000
4361.10	0.00000
4361.15	0.00000
4361.20	0.00000
4361.25	0.00000
4361.30	0.00000
4361.35	0.00000
4361.40	0.00000
4361.45	0.00000
4361.50	0.00000
4361.55	0.00000
4361.60	0.00000
4361.65	0.00000
4361.70	0.00000
4361.75	0.00000
4361.80	0.00000
4361.85	0.00000
4361.90	0.00000
4361.95	0.00000
4362.00	0.00000
4362.05	0.00000
4362.10	0.00000
4362.15	0.00000
4362.20	0.00000
4362.25	0.00000
4362.30	0.00000
4362.35	0.00000
4362.40	0.00000
4362.45	0.00000
4362.50	0.00000
4362.55	0.00000
4362.60	0.00000
4362.65	0.00000
4362.70	0.00000
4362.75	0.00000
4362.80	0.00000
4362.85	0.00000
4362.90	0.00000
4362.95	0.00000
4363.00	0.00000
4363.05	0.00000
4363.10	0.00000
4363.15	0.00000
4363.20	0.00000
4363.25	0.00000
4363.30	0.00000
4363.35	0.00000
4363.40	0.00000
4363.45	0.00000
4363.50	0.00000
4363.55	0.00000
4363.60	0.00000
4363.65	0.00000
4363.70	0.00000
4363.75	0.00000
4363.80	0.00000
4363.85	0.00000
4363.90	0.00000
4363.95	0.00000
4364.00	0.00000
4364.05	0.00000
4364.10	0.00000
4364.15	0.00000
4364.20	0.00000
4364.25	0.00000
4364.30	0.00000
4364.35	0.00000
4364.40	0.00000
4364.45	0.00000
4364.50	0.00000
4364.55	0.00000
4364.60	0.00000
4364.65	0.00000
4364.70	0.00000
4364.75	0.00000
4364.80	0.00000
4364.85	0.00000
4364.90	0.00000
4364.95	0.00000
4365.00	0.00000
4365.05	0.00000
4365.10	0.00000
4365.15	0.00000
4365.20	0.00000
4365.25	0.00000
4365.30	0.00000
4365.35	0.00000
4365.40	0.00000
4365.45	0.00000
4365.50	0.00000
4365.55	0.00000
4365.60	0.00000
4365.65	0.00000
4365.70	0.00000
4365.75	0.00000
4365.80	0.00000
4365.85	0.00000
4365.90	0.00000
4365.95	0.00000
4366.00	0.00000
4366.05	0.00000
4366.10	0.00000
4366.15	0.00000
4366.20	0.00000
4366.25	0.00000
4366.30	0.00000
4366.35	0.00000
4366.40	0.00000
4366.45	0.00000
4366.50	0.00000
4366.55	0.00000
4366.60	0.00000
4366.65	0.00000
4366.70	0.00000
4366.75	0.00000
4366.80	0.00000
4366.85	0.00000
4366.90	0.00000
4366.95	0.00000
4367.00	0.00000
4367.05	0.00000
4367.10	0.00000
4367.15	0.00000
4367.20	0.00000
4367.25	0.00000
4367.30	0.00000
4367.35	0.00000
4367.40	0.00000
4367.45	0.00000
4367.50	0.00000
4367.55	0.00000
4367.60	0.00000
4367.65	0.00000
4367.70	0.00000
4367.75	0.00000
4367.80	0.00000
4367.85	0.00000
4367.90	0.00000
4367.95	0.00000
4368.00	0.00000
4368.05	0.00000
4368.10	0.00000
4368.15	0.00000
4368.20	0.00000
4368.25	0.00000
4368.30	0.00000
4368.35	0.00000
4368.40	0.00000
4368.45	0.00000
4368.50	0.00000
4368.55	0.00000
4368.60	0.00000
4368.65	0.00000
4368.70	0.00000
4368.75	0.00000
4368.80	0.00000
4368.85	0.00000
4368.90	0.00000
4368.95	0.00000
4369.00	0.00000
4369.05	0.00000
4369.10	0.00000
4369.15	0.00000
4369.20	0.00000
4369.25	0.00000
4369.30	0.00000
4369.35	0.00000
4369.40	0.00000
4369.45	0.00000
4369.50	0.00000
4369.55	0.00000
4369.60	0.00000
4369.65	0.00000
4369.70	0.00000
4369.75	0.00000
4369.80	0.00000
4369.85	0.00000
4369.90	0.00000
4369.95	0.00000
4370.00	0.00000
4370.05	0.00000
4370.10	0.00000
4370.15	0.00000
4370.20	0.00000
4370.25	0.00000
4370.30	0.00000
4370.35	0.00000
4370.40	0.00000
4370.45	0.00000
4370.50	0.00000
4370.55	0.00000
4370.60	0.00000
4370.65	0.00000
4370.70	0.00000
4370.75	0.00000
4370.80	0.00000
4370.85	0.00000
4370.90	0.00000
4370.95	0.00000
4371.00	0.00000
4371.05	0.00000
4371.10	0.00000
4371.15	0.00000
