128017	31.61	23.33	108792.4	35	26.67
128017	35.67	26.67	111290.76	37.78	29.44
128017	30.28	22.22	125826.7	35	26.67
128017	34.28	25.56	131277.67	37.78	29.44
128017	31.61	23.33	134911.66	32.22	26.67
128017	35.67	26.67	136501.52	35	29.44
128017	28.94	21.11	141271.13	35	26.67
128017	32.94	24.44	149220.47	37.78	29.44
128017	27.56	20	155807.06	35	26.67
128017	30.28	22.22	158078.3	32.22	26.67
128017	34.28	25.56	163529.28	35	29.44
128017	31.61	23.33	165573.4	37.78	29.44
128017	26.22	18.89	169207.38	35	26.67
128017	28.94	21.11	179427.96	32.22	26.67
128017	30.28	22.22	180790.7	37.78	29.44
128017	28.94	21.11	194872.39	37.78	29.44
128017	27.56	20	199187.75	32.22	26.67
128017	27.56	20	208045.58	37.78	29.44
128017	31.61	23.33	210316.82	35	29.44
128017	32.94	24.44	210543.95	35	29.44
128017	26.22	18.89	217584.79	32.22	26.67
128017	30.28	22.22	230757.98	35	29.44
128017	28.94	21.11	249609.28	35	29.44
128017	27.56	20	267097.82	35	29.44
